MethodName,MethodFullName,ReturnType,ErrorType,Message
InitializeManagedWinRTFactoryObject,"System.Void System.Runtime.InteropServices.Marshal::InitializeManagedWinRTFactoryObject(System.Object,System.RuntimeType)",System.Void,Internal Flag Set,"Use of System.Void System.Runtime.InteropServices.Marshal::InitializeManagedWinRTFactoryObject(System.Object,System.RuntimeType) is non-deterministic [Internal Flag Set]"
GetNativeActivationFactory,System.Object System.Runtime.InteropServices.Marshal::GetNativeActivationFactory(System.Type),System.Object,Internal Flag Set,Use of System.Object System.Runtime.InteropServices.Marshal::GetNativeActivationFactory(System.Type) is non-deterministic [Internal Flag Set]
GetDelegateForFunctionPointerInternal,"System.Delegate System.Runtime.InteropServices.Marshal::GetDelegateForFunctionPointerInternal(System.IntPtr,System.Type)",System.Delegate,Internal Flag Set,"Use of System.Delegate System.Runtime.InteropServices.Marshal::GetDelegateForFunctionPointerInternal(System.IntPtr,System.Type) is non-deterministic [Internal Flag Set]"
GetFunctionPointerForDelegateInternal,System.IntPtr System.Runtime.InteropServices.Marshal::GetFunctionPointerForDelegateInternal(System.Delegate),System.IntPtr,Internal Flag Set,Use of System.IntPtr System.Runtime.InteropServices.Marshal::GetFunctionPointerForDelegateInternal(System.Delegate) is non-deterministic [Internal Flag Set]
GetModuleFileName,System.String System.Runtime.InteropServices.RuntimeEnvironment::GetModuleFileName(),System.String,Internal Flag Set,Use of System.String System.Runtime.InteropServices.RuntimeEnvironment::GetModuleFileName() is non-deterministic [Internal Flag Set]
PtrToStructureNative,"System.Void System.Runtime.InteropServices.SafeBuffer::PtrToStructureNative(System.Byte*,System.TypedReference,System.UInt32)",System.Void,Internal Flag Set,"Use of System.Void System.Runtime.InteropServices.SafeBuffer::PtrToStructureNative(System.Byte*,System.TypedReference,System.UInt32) is non-deterministic [Internal Flag Set]"
StructureToPtrNative,"System.Void System.Runtime.InteropServices.SafeBuffer::StructureToPtrNative(System.TypedReference,System.Byte*,System.UInt32)",System.Void,Internal Flag Set,"Use of System.Void System.Runtime.InteropServices.SafeBuffer::StructureToPtrNative(System.TypedReference,System.Byte*,System.UInt32) is non-deterministic [Internal Flag Set]"
InternalFinalize,System.Void System.Runtime.InteropServices.SafeHandle::InternalFinalize(),System.Void,Internal Flag Set,Use of System.Void System.Runtime.InteropServices.SafeHandle::InternalFinalize() is non-deterministic [Internal Flag Set]
InternalDispose,System.Void System.Runtime.InteropServices.SafeHandle::InternalDispose(),System.Void,Internal Flag Set,Use of System.Void System.Runtime.InteropServices.SafeHandle::InternalDispose() is non-deterministic [Internal Flag Set]
SetHandleAsInvalid,System.Void System.Runtime.InteropServices.SafeHandle::SetHandleAsInvalid(),System.Void,Internal Flag Set,Use of System.Void System.Runtime.InteropServices.SafeHandle::SetHandleAsInvalid() is non-deterministic [Internal Flag Set]
DangerousAddRef,System.Void System.Runtime.InteropServices.SafeHandle::DangerousAddRef(System.Boolean&),System.Void,Internal Flag Set,Use of System.Void System.Runtime.InteropServices.SafeHandle::DangerousAddRef(System.Boolean&) is non-deterministic [Internal Flag Set]
DangerousRelease,System.Void System.Runtime.InteropServices.SafeHandle::DangerousRelease(),System.Void,Internal Flag Set,Use of System.Void System.Runtime.InteropServices.SafeHandle::DangerousRelease() is non-deterministic [Internal Flag Set]
GetRestrictedErrorInfo,System.Runtime.InteropServices.WindowsRuntime.IRestrictedErrorInfo System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::GetRestrictedErrorInfo(),System.Runtime.InteropServices.WindowsRuntime.IRestrictedErrorInfo,PInvokeImpl Flag Set,Use of System.Runtime.InteropServices.WindowsRuntime.IRestrictedErrorInfo System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::GetRestrictedErrorInfo() is non-deterministic [PInvokeImpl Flag Set]
RoOriginateLanguageException,"System.Boolean System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::RoOriginateLanguageException(System.Int32,System.String,System.IntPtr)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::RoOriginateLanguageException(System.Int32,System.String,System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]"
RoReportUnhandledError,System.Void System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::RoReportUnhandledError(System.Runtime.InteropServices.WindowsRuntime.IRestrictedErrorInfo),System.Void,PInvokeImpl Flag Set,Use of System.Void System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::RoReportUnhandledError(System.Runtime.InteropServices.WindowsRuntime.IRestrictedErrorInfo) is non-deterministic [PInvokeImpl Flag Set]
WindowsCreateString,"System.Int32 System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::WindowsCreateString(System.String,System.Int32,System.IntPtr*)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::WindowsCreateString(System.String,System.Int32,System.IntPtr*) is non-deterministic [PInvokeImpl Flag Set]"
WindowsCreateStringReference,"System.Int32 System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::WindowsCreateStringReference(System.Char*,System.Int32,System.Runtime.InteropServices.WindowsRuntime.HSTRING_HEADER*,System.IntPtr*)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::WindowsCreateStringReference(System.Char*,System.Int32,System.Runtime.InteropServices.WindowsRuntime.HSTRING_HEADER*,System.IntPtr*) is non-deterministic [PInvokeImpl Flag Set]"
WindowsDeleteString,System.Int32 System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::WindowsDeleteString(System.IntPtr),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::WindowsDeleteString(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
WindowsGetStringRawBuffer,"System.Char* System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::WindowsGetStringRawBuffer(System.IntPtr,System.UInt32*)",System.Char*,PInvokeImpl Flag Set,"Use of System.Char* System.Runtime.InteropServices.WindowsRuntime.UnsafeNativeMethods::WindowsGetStringRawBuffer(System.IntPtr,System.UInt32*) is non-deterministic [PInvokeImpl Flag Set]"
GetRedirectedGetHashCodeMD,System.IntPtr System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::GetRedirectedGetHashCodeMD(),System.IntPtr,Internal Flag Set,Use of System.IntPtr System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::GetRedirectedGetHashCodeMD() is non-deterministic [Internal Flag Set]
RedirectGetHashCode,System.Int32 System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::RedirectGetHashCode(System.IntPtr),System.Int32,Internal Flag Set,Use of System.Int32 System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::RedirectGetHashCode(System.IntPtr) is non-deterministic [Internal Flag Set]
GetRedirectedToStringMD,System.IntPtr System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::GetRedirectedToStringMD(),System.IntPtr,Internal Flag Set,Use of System.IntPtr System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::GetRedirectedToStringMD() is non-deterministic [Internal Flag Set]
RedirectToString,System.String System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::RedirectToString(System.IntPtr),System.String,Internal Flag Set,Use of System.String System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::RedirectToString(System.IntPtr) is non-deterministic [Internal Flag Set]
GetRedirectedEqualsMD,System.IntPtr System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::GetRedirectedEqualsMD(),System.IntPtr,Internal Flag Set,Use of System.IntPtr System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::GetRedirectedEqualsMD() is non-deterministic [Internal Flag Set]
RedirectEquals,"System.Boolean System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::RedirectEquals(System.Object,System.IntPtr)",System.Boolean,Internal Flag Set,"Use of System.Boolean System.Runtime.InteropServices.WindowsRuntime.RuntimeClass::RedirectEquals(System.Object,System.IntPtr) is non-deterministic [Internal Flag Set]"
StoreOverlappedPtrInCCW,"System.Void System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferHelper::StoreOverlappedPtrInCCW(System.Runtime.CompilerServices.ObjectHandleOnStack,System.Threading.NativeOverlapped*)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferHelper::StoreOverlappedPtrInCCW(System.Runtime.CompilerServices.ObjectHandleOnStack,System.Threading.NativeOverlapped*) is non-deterministic [PInvokeImpl Flag Set]"
InitializeArray,"System.Void System.Runtime.CompilerServices.RuntimeHelpers::InitializeArray(System.Array,System.RuntimeFieldHandle)",System.Void,Internal Flag Set,"Use of System.Void System.Runtime.CompilerServices.RuntimeHelpers::InitializeArray(System.Array,System.RuntimeFieldHandle) is non-deterministic [Internal Flag Set]"
GetObjectValue,System.Object System.Runtime.CompilerServices.RuntimeHelpers::GetObjectValue(System.Object),System.Object,Internal Flag Set,Use of System.Object System.Runtime.CompilerServices.RuntimeHelpers::GetObjectValue(System.Object) is non-deterministic [Internal Flag Set]
_RunClassConstructor,System.Void System.Runtime.CompilerServices.RuntimeHelpers::_RunClassConstructor(System.RuntimeType),System.Void,Internal Flag Set,Use of System.Void System.Runtime.CompilerServices.RuntimeHelpers::_RunClassConstructor(System.RuntimeType) is non-deterministic [Internal Flag Set]
_RunModuleConstructor,System.Void System.Runtime.CompilerServices.RuntimeHelpers::_RunModuleConstructor(System.Reflection.RuntimeModule),System.Void,Internal Flag Set,Use of System.Void System.Runtime.CompilerServices.RuntimeHelpers::_RunModuleConstructor(System.Reflection.RuntimeModule) is non-deterministic [Internal Flag Set]
_CompileMethod,System.Void System.Runtime.CompilerServices.RuntimeHelpers::_CompileMethod(System.IRuntimeMethodInfo),System.Void,PInvokeImpl Flag Set,Use of System.Void System.Runtime.CompilerServices.RuntimeHelpers::_CompileMethod(System.IRuntimeMethodInfo) is non-deterministic [PInvokeImpl Flag Set]
