MethodName,MethodFullName,ReturnType,ErrorType,Message
InternalBlockCopy,"System.Void System.Buffer::InternalBlockCopy(System.Array,System.Int32,System.Array,System.Int32,System.Int32)",System.Void,Internal Flag Set,"Use of System.Void System.Buffer::InternalBlockCopy(System.Array,System.Int32,System.Array,System.Int32,System.Int32) is non-deterministic [Internal Flag Set]"
IsPrimitiveTypeArray,System.Boolean System.Buffer::IsPrimitiveTypeArray(System.Array),System.Boolean,Internal Flag Set,Use of System.Boolean System.Buffer::IsPrimitiveTypeArray(System.Array) is non-deterministic [Internal Flag Set]
_GetByte,"System.Byte System.Buffer::_GetByte(System.Array,System.Int32)",System.Byte,Internal Flag Set,"Use of System.Byte System.Buffer::_GetByte(System.Array,System.Int32) is non-deterministic [Internal Flag Set]"
_SetByte,"System.Void System.Buffer::_SetByte(System.Array,System.Int32,System.Byte)",System.Void,Internal Flag Set,"Use of System.Void System.Buffer::_SetByte(System.Array,System.Int32,System.Byte) is non-deterministic [Internal Flag Set]"
_ByteLength,System.Int32 System.Buffer::_ByteLength(System.Array),System.Int32,Internal Flag Set,Use of System.Int32 System.Buffer::_ByteLength(System.Array) is non-deterministic [Internal Flag Set]
__Memmove,"System.Void System.Buffer::__Memmove(System.Byte*,System.Byte*,System.UInt64)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Buffer::__Memmove(System.Byte*,System.Byte*,System.UInt64) is non-deterministic [PInvokeImpl Flag Set]"
FCallToDecimal,"System.Void System.Currency::FCallToDecimal(System.Decimal&,System.Currency)",System.Void,Internal Flag Set,"Use of System.Void System.Currency::FCallToDecimal(System.Decimal&,System.Currency) is non-deterministic [Internal Flag Set]"
.ctor,System.Void System.Decimal::.ctor(System.Single),System.Void,Internal Flag Set,Use of System.Void System.Decimal::.ctor(System.Single) is non-deterministic [Internal Flag Set]
.ctor,System.Void System.Decimal::.ctor(System.Double),System.Void,Internal Flag Set,Use of System.Void System.Decimal::.ctor(System.Double) is non-deterministic [Internal Flag Set]
FCallAddSub,"System.Void System.Decimal::FCallAddSub(System.Decimal&,System.Decimal&,System.Byte)",System.Void,Internal Flag Set,"Use of System.Void System.Decimal::FCallAddSub(System.Decimal&,System.Decimal&,System.Byte) is non-deterministic [Internal Flag Set]"
FCallCompare,"System.Int32 System.Decimal::FCallCompare(System.Decimal&,System.Decimal&)",System.Int32,Internal Flag Set,"Use of System.Int32 System.Decimal::FCallCompare(System.Decimal&,System.Decimal&) is non-deterministic [Internal Flag Set]"
FCallDivide,"System.Void System.Decimal::FCallDivide(System.Decimal&,System.Decimal&)",System.Void,Internal Flag Set,"Use of System.Void System.Decimal::FCallDivide(System.Decimal&,System.Decimal&) is non-deterministic [Internal Flag Set]"
GetHashCode,System.Int32 System.Decimal::GetHashCode(),System.Int32,Internal Flag Set,Use of System.Int32 System.Decimal::GetHashCode() is non-deterministic [Internal Flag Set]
FCallFloor,System.Void System.Decimal::FCallFloor(System.Decimal&),System.Void,Internal Flag Set,Use of System.Void System.Decimal::FCallFloor(System.Decimal&) is non-deterministic [Internal Flag Set]
FCallMultiply,"System.Void System.Decimal::FCallMultiply(System.Decimal&,System.Decimal&)",System.Void,Internal Flag Set,"Use of System.Void System.Decimal::FCallMultiply(System.Decimal&,System.Decimal&) is non-deterministic [Internal Flag Set]"
FCallRound,"System.Void System.Decimal::FCallRound(System.Decimal&,System.Int32)",System.Void,Internal Flag Set,"Use of System.Void System.Decimal::FCallRound(System.Decimal&,System.Int32) is non-deterministic [Internal Flag Set]"
FCallToCurrency,"System.Void System.Decimal::FCallToCurrency(System.Currency&,System.Decimal)",System.Void,Internal Flag Set,"Use of System.Void System.Decimal::FCallToCurrency(System.Currency&,System.Decimal) is non-deterministic [Internal Flag Set]"
ToDouble,System.Double System.Decimal::ToDouble(System.Decimal),System.Double,Internal Flag Set,Use of System.Double System.Decimal::ToDouble(System.Decimal) is non-deterministic [Internal Flag Set]
FCallToInt32,System.Int32 System.Decimal::FCallToInt32(System.Decimal),System.Int32,Internal Flag Set,Use of System.Int32 System.Decimal::FCallToInt32(System.Decimal) is non-deterministic [Internal Flag Set]
ToSingle,System.Single System.Decimal::ToSingle(System.Decimal),System.Single,Internal Flag Set,Use of System.Single System.Decimal::ToSingle(System.Decimal) is non-deterministic [Internal Flag Set]
FCallTruncate,System.Void System.Decimal::FCallTruncate(System.Decimal&),System.Void,Internal Flag Set,Use of System.Void System.Decimal::FCallTruncate(System.Decimal&) is non-deterministic [Internal Flag Set]
CanConvertPrimitive,"System.Boolean System.DefaultBinder::CanConvertPrimitive(System.RuntimeType,System.RuntimeType)",System.Boolean,Internal Flag Set,"Use of System.Boolean System.DefaultBinder::CanConvertPrimitive(System.RuntimeType,System.RuntimeType) is non-deterministic [Internal Flag Set]"
CanConvertPrimitiveObjectToType,"System.Boolean System.DefaultBinder::CanConvertPrimitiveObjectToType(System.Object,System.RuntimeType)",System.Boolean,Internal Flag Set,"Use of System.Boolean System.DefaultBinder::CanConvertPrimitiveObjectToType(System.Object,System.RuntimeType) is non-deterministic [Internal Flag Set]"
IsPositiveInfinity,System.Boolean System.Double::IsPositiveInfinity(System.Double),System.Boolean,Float usage,Float used within System.Boolean System.Double::IsPositiveInfinity(System.Double)
IsNegativeInfinity,System.Boolean System.Double::IsNegativeInfinity(System.Double),System.Boolean,Float usage,Float used within System.Boolean System.Double::IsNegativeInfinity(System.Double)
CompareTo,System.Int32 System.Double::CompareTo(System.Object),System.Int32,Float usage,Float used within System.Int32 System.Double::CompareTo(System.Object)
CompareTo,System.Int32 System.Double::CompareTo(System.Object),System.Int32,Float usage,Float used within System.Int32 System.Double::CompareTo(System.Object)
CompareTo,System.Int32 System.Double::CompareTo(System.Object),System.Int32,Float usage,Float used within System.Int32 System.Double::CompareTo(System.Object)
CompareTo,System.Int32 System.Double::CompareTo(System.Object),System.Int32,Float usage,Float used within System.Int32 System.Double::CompareTo(System.Object)
CompareTo,System.Int32 System.Double::CompareTo(System.Double),System.Int32,Float usage,Float used within System.Int32 System.Double::CompareTo(System.Double)
CompareTo,System.Int32 System.Double::CompareTo(System.Double),System.Int32,Float usage,Float used within System.Int32 System.Double::CompareTo(System.Double)
CompareTo,System.Int32 System.Double::CompareTo(System.Double),System.Int32,Float usage,Float used within System.Int32 System.Double::CompareTo(System.Double)
CompareTo,System.Int32 System.Double::CompareTo(System.Double),System.Int32,Float usage,Float used within System.Int32 System.Double::CompareTo(System.Double)
Equals,System.Boolean System.Double::Equals(System.Object),System.Boolean,Float usage,Float used within System.Boolean System.Double::Equals(System.Object)
Equals,System.Boolean System.Double::Equals(System.Object),System.Boolean,Float usage,Float used within System.Boolean System.Double::Equals(System.Object)
Equals,System.Boolean System.Double::Equals(System.Double),System.Boolean,Float usage,Float used within System.Boolean System.Double::Equals(System.Double)
Equals,System.Boolean System.Double::Equals(System.Double),System.Boolean,Float usage,Float used within System.Boolean System.Double::Equals(System.Double)
GetHashCode,System.Int32 System.Double::GetHashCode(),System.Int32,Float usage,Float used within System.Int32 System.Double::GetHashCode()
GetHashCode,System.Int32 System.Double::GetHashCode(),System.Int32,Float usage,Float used within System.Int32 System.Double::GetHashCode()
ToString,System.String System.Double::ToString(),System.String,Float usage,Float used within System.String System.Double::ToString()
ToString,System.String System.Double::ToString(System.String),System.String,Float usage,Float used within System.String System.Double::ToString(System.String)
ToString,System.String System.Double::ToString(System.IFormatProvider),System.String,Float usage,Float used within System.String System.Double::ToString(System.IFormatProvider)
ToString,"System.String System.Double::ToString(System.String,System.IFormatProvider)",System.String,Float usage,"Float used within System.String System.Double::ToString(System.String,System.IFormatProvider)"
TryParse,"System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)",System.Boolean,Float usage,"Float used within System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)"
TryParse,"System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)",System.Boolean,Float usage,"Float used within System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)"
TryParse,"System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)",System.Boolean,Float usage,"Float used within System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)"
TryParse,"System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)",System.Boolean,Float usage,"Float used within System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)"
TryParse,"System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)",System.Boolean,Float usage,"Float used within System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)"
TryParse,"System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)",System.Boolean,Float usage,"Float used within System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)"
TryParse,"System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)",System.Boolean,Float usage,"Float used within System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)"
TryParse,"System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)",System.Boolean,Float usage,"Float used within System.Boolean System.Double::TryParse(System.String,System.Globalization.NumberStyles,System.Globalization.NumberFormatInfo,System.Double&)"
System.IConvertible.ToBoolean,System.Boolean System.Double::System.IConvertible.ToBoolean(System.IFormatProvider),System.Boolean,Float usage,Float used within System.Boolean System.Double::System.IConvertible.ToBoolean(System.IFormatProvider)
System.IConvertible.ToSByte,System.SByte System.Double::System.IConvertible.ToSByte(System.IFormatProvider),System.SByte,Float usage,Float used within System.SByte System.Double::System.IConvertible.ToSByte(System.IFormatProvider)
System.IConvertible.ToByte,System.Byte System.Double::System.IConvertible.ToByte(System.IFormatProvider),System.Byte,Float usage,Float used within System.Byte System.Double::System.IConvertible.ToByte(System.IFormatProvider)
System.IConvertible.ToInt16,System.Int16 System.Double::System.IConvertible.ToInt16(System.IFormatProvider),System.Int16,Float usage,Float used within System.Int16 System.Double::System.IConvertible.ToInt16(System.IFormatProvider)
System.IConvertible.ToUInt16,System.UInt16 System.Double::System.IConvertible.ToUInt16(System.IFormatProvider),System.UInt16,Float usage,Float used within System.UInt16 System.Double::System.IConvertible.ToUInt16(System.IFormatProvider)
System.IConvertible.ToInt32,System.Int32 System.Double::System.IConvertible.ToInt32(System.IFormatProvider),System.Int32,Float usage,Float used within System.Int32 System.Double::System.IConvertible.ToInt32(System.IFormatProvider)
System.IConvertible.ToUInt32,System.UInt32 System.Double::System.IConvertible.ToUInt32(System.IFormatProvider),System.UInt32,Float usage,Float used within System.UInt32 System.Double::System.IConvertible.ToUInt32(System.IFormatProvider)
System.IConvertible.ToInt64,System.Int64 System.Double::System.IConvertible.ToInt64(System.IFormatProvider),System.Int64,Float usage,Float used within System.Int64 System.Double::System.IConvertible.ToInt64(System.IFormatProvider)
System.IConvertible.ToUInt64,System.UInt64 System.Double::System.IConvertible.ToUInt64(System.IFormatProvider),System.UInt64,Float usage,Float used within System.UInt64 System.Double::System.IConvertible.ToUInt64(System.IFormatProvider)
System.IConvertible.ToSingle,System.Single System.Double::System.IConvertible.ToSingle(System.IFormatProvider),System.Single,Float usage,Float used within System.Single System.Double::System.IConvertible.ToSingle(System.IFormatProvider)
System.IConvertible.ToDouble,System.Double System.Double::System.IConvertible.ToDouble(System.IFormatProvider),System.Double,Float usage,Float used within System.Double System.Double::System.IConvertible.ToDouble(System.IFormatProvider)
System.IConvertible.ToDecimal,System.Decimal System.Double::System.IConvertible.ToDecimal(System.IFormatProvider),System.Decimal,Float usage,Float used within System.Decimal System.Double::System.IConvertible.ToDecimal(System.IFormatProvider)
System.IConvertible.ToType,"System.Object System.Double::System.IConvertible.ToType(System.Type,System.IFormatProvider)",System.Object,Float usage,"Float used within System.Object System.Double::System.IConvertible.ToType(System.Type,System.IFormatProvider)"
InternalCompareTo,"System.Int32 System.Enum::InternalCompareTo(System.Object,System.Object)",System.Int32,Internal Flag Set,"Use of System.Int32 System.Enum::InternalCompareTo(System.Object,System.Object) is non-deterministic [Internal Flag Set]"
InternalGetUnderlyingType,System.RuntimeType System.Enum::InternalGetUnderlyingType(System.RuntimeType),System.RuntimeType,Internal Flag Set,Use of System.RuntimeType System.Enum::InternalGetUnderlyingType(System.RuntimeType) is non-deterministic [Internal Flag Set]
GetEnumValuesAndNames,"System.Void System.Enum::GetEnumValuesAndNames(System.RuntimeTypeHandle,System.Runtime.CompilerServices.ObjectHandleOnStack,System.Runtime.CompilerServices.ObjectHandleOnStack,System.Boolean)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Enum::GetEnumValuesAndNames(System.RuntimeTypeHandle,System.Runtime.CompilerServices.ObjectHandleOnStack,System.Runtime.CompilerServices.ObjectHandleOnStack,System.Boolean) is non-deterministic [PInvokeImpl Flag Set]"
InternalBoxEnum,"System.Object System.Enum::InternalBoxEnum(System.RuntimeType,System.Int64)",System.Object,Internal Flag Set,"Use of System.Object System.Enum::InternalBoxEnum(System.RuntimeType,System.Int64) is non-deterministic [Internal Flag Set]"
GetValue,System.Object System.Enum::GetValue(),System.Object,Float usage,Float used within System.Object System.Enum::GetValue()
GetValue,System.Object System.Enum::GetValue(),System.Object,Float usage,Float used within System.Object System.Enum::GetValue()
InternalHasFlag,System.Boolean System.Enum::InternalHasFlag(System.Enum),System.Boolean,Internal Flag Set,Use of System.Boolean System.Enum::InternalHasFlag(System.Enum) is non-deterministic [Internal Flag Set]
InternalGetCorElementType,System.Reflection.CorElementType System.Enum::InternalGetCorElementType(),System.Reflection.CorElementType,Internal Flag Set,Use of System.Reflection.CorElementType System.Enum::InternalGetCorElementType() is non-deterministic [Internal Flag Set]
Equals,System.Boolean System.Enum::Equals(System.Object),System.Boolean,Internal Flag Set,Use of System.Boolean System.Enum::Equals(System.Object) is non-deterministic [Internal Flag Set]
GetResourceStringLocal,System.String System.Environment::GetResourceStringLocal(System.String),System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_InternalSyncObject,System.Object System.Environment::get_InternalSyncObject(),System.Object,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_TickCount,System.Int32 System.Environment::get_TickCount(),System.Int32,Internal Flag Set,Use of System.Int32 System.Environment::get_TickCount() is non-deterministic [Internal Flag Set]
get_TickCount,System.Int32 System.Environment::get_TickCount(),System.Int32,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
_Exit,System.Void System.Environment::_Exit(System.Int32),System.Void,PInvokeImpl Flag Set,Use of System.Void System.Environment::_Exit(System.Int32) is non-deterministic [PInvokeImpl Flag Set]
_Exit,System.Void System.Environment::_Exit(System.Int32),System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
Exit,System.Void System.Environment::Exit(System.Int32),System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_ExitCode,System.Int32 System.Environment::get_ExitCode(),System.Int32,Internal Flag Set,Use of System.Int32 System.Environment::get_ExitCode() is non-deterministic [Internal Flag Set]
get_ExitCode,System.Int32 System.Environment::get_ExitCode(),System.Int32,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
set_ExitCode,System.Void System.Environment::set_ExitCode(System.Int32),System.Void,Internal Flag Set,Use of System.Void System.Environment::set_ExitCode(System.Int32) is non-deterministic [Internal Flag Set]
set_ExitCode,System.Void System.Environment::set_ExitCode(System.Int32),System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
FailFast,System.Void System.Environment::FailFast(System.String),System.Void,Internal Flag Set,Use of System.Void System.Environment::FailFast(System.String) is non-deterministic [Internal Flag Set]
FailFast,System.Void System.Environment::FailFast(System.String),System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
FailFast,"System.Void System.Environment::FailFast(System.String,System.Exception)",System.Void,Internal Flag Set,"Use of System.Void System.Environment::FailFast(System.String,System.Exception) is non-deterministic [Internal Flag Set]"
FailFast,"System.Void System.Environment::FailFast(System.String,System.Exception)",System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_CurrentDirectory,System.String System.Environment::get_CurrentDirectory(),System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
set_CurrentDirectory,System.Void System.Environment::set_CurrentDirectory(System.String),System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_SystemDirectory,System.String System.Environment::get_SystemDirectory(),System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
ExpandEnvironmentVariables,System.String System.Environment::ExpandEnvironmentVariables(System.String),System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetProcessorCount,System.Int32 System.Environment::GetProcessorCount(),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 System.Environment::GetProcessorCount() is non-deterministic [PInvokeImpl Flag Set]
GetProcessorCount,System.Int32 System.Environment::GetProcessorCount(),System.Int32,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_ProcessorCount,System.Int32 System.Environment::get_ProcessorCount(),System.Int32,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetCommandLineArgs,System.String[] System.Environment::GetCommandLineArgs(),System.String[],Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetCommandLineArgsNative,System.String[] System.Environment::GetCommandLineArgsNative(),System.String[],Internal Flag Set,Use of System.String[] System.Environment::GetCommandLineArgsNative() is non-deterministic [Internal Flag Set]
GetCommandLineArgsNative,System.String[] System.Environment::GetCommandLineArgsNative(),System.String[],Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
SetCommandLineArgs,System.Void System.Environment::SetCommandLineArgs(System.String[]),System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentCharArray,System.Char[] System.Environment::GetEnvironmentCharArray(),System.Char[],Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_NewLine,System.String System.Environment::get_NewLine(),System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_Version,System.Version System.Environment::get_Version(),System.Version,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_IsWindows8OrAbove,System.Boolean System.Environment::get_IsWindows8OrAbove(),System.Boolean,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_IsWinRTSupported,System.Boolean System.Environment::get_IsWinRTSupported(),System.Boolean,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
WinRTSupported,System.Boolean System.Environment::WinRTSupported(),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean System.Environment::WinRTSupported() is non-deterministic [PInvokeImpl Flag Set]
WinRTSupported,System.Boolean System.Environment::WinRTSupported(),System.Boolean,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_StackTrace,System.String System.Environment::get_StackTrace(),System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetStackTrace,"System.String System.Environment::GetStackTrace(System.Exception,System.Boolean)",System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_HasShutdownStarted,System.Boolean System.Environment::get_HasShutdownStarted(),System.Boolean,Internal Flag Set,Use of System.Boolean System.Environment::get_HasShutdownStarted() is non-deterministic [Internal Flag Set]
get_HasShutdownStarted,System.Boolean System.Environment::get_HasShutdownStarted(),System.Boolean,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_UserInteractive,System.Boolean System.Environment::get_UserInteractive(),System.Boolean,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_CurrentManagedThreadId,System.Int32 System.Environment::get_CurrentManagedThreadId(),System.Int32,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_CurrentProcessorNumber,System.Int32 System.Environment::get_CurrentProcessorNumber(),System.Int32,Internal Flag Set,Use of System.Int32 System.Environment::get_CurrentProcessorNumber() is non-deterministic [Internal Flag Set]
get_CurrentProcessorNumber,System.Int32 System.Environment::get_CurrentProcessorNumber(),System.Int32,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
RefreshExecutionId,System.Int32 System.Environment::RefreshExecutionId(),System.Int32,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
get_CurrentExecutionId,System.Int32 System.Environment::get_CurrentExecutionId(),System.Int32,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentVariable,System.String System.Environment::GetEnvironmentVariable(System.String),System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentVariable,"System.String System.Environment::GetEnvironmentVariable(System.String,System.EnvironmentVariableTarget)",System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentVariables,System.Collections.IDictionary System.Environment::GetEnvironmentVariables(),System.Collections.IDictionary,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentVariables,System.Collections.IDictionary System.Environment::GetEnvironmentVariables(System.EnvironmentVariableTarget),System.Collections.IDictionary,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
SetEnvironmentVariable,"System.Void System.Environment::SetEnvironmentVariable(System.String,System.String)",System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
SetEnvironmentVariable,"System.Void System.Environment::SetEnvironmentVariable(System.String,System.String,System.EnvironmentVariableTarget)",System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
ValidateVariableAndValue,"System.Void System.Environment::ValidateVariableAndValue(System.String,System.String&)",System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
ValidateTarget,System.Void System.Environment::ValidateTarget(System.EnvironmentVariableTarget),System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetRawEnvironmentVariables,"System.Collections.Generic.Dictionary`2<System.String,System.String> System.Environment::GetRawEnvironmentVariables()","System.Collections.Generic.Dictionary`2<System.String,System.String>",Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentVariableCore,System.String System.Environment::GetEnvironmentVariableCore(System.String),System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentVariableCore,"System.String System.Environment::GetEnvironmentVariableCore(System.String,System.EnvironmentVariableTarget)",System.String,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentVariablesCore,System.Collections.IDictionary System.Environment::GetEnvironmentVariablesCore(),System.Collections.IDictionary,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetEnvironmentVariablesCore,System.Collections.IDictionary System.Environment::GetEnvironmentVariablesCore(System.EnvironmentVariableTarget),System.Collections.IDictionary,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
SetEnvironmentVariableCore,"System.Void System.Environment::SetEnvironmentVariableCore(System.String,System.String)",System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
SetEnvironmentVariableCore,"System.Void System.Environment::SetEnvironmentVariableCore(System.String,System.String,System.EnvironmentVariableTarget)",System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
.cctor,System.Void System.Environment::.cctor(),System.Void,Known Non-Deterministic Method,Use of System.Environment is non-deterministic [Known Non-Deterministic Method]
GetGCLatencyMode,System.Int32 System.GC::GetGCLatencyMode(),System.Int32,Internal Flag Set,Use of System.Int32 System.GC::GetGCLatencyMode() is non-deterministic [Internal Flag Set]
SetGCLatencyMode,System.Int32 System.GC::SetGCLatencyMode(System.Int32),System.Int32,Internal Flag Set,Use of System.Int32 System.GC::SetGCLatencyMode(System.Int32) is non-deterministic [Internal Flag Set]
_StartNoGCRegion,"System.Int32 System.GC::_StartNoGCRegion(System.Int64,System.Boolean,System.Int64,System.Boolean)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.GC::_StartNoGCRegion(System.Int64,System.Boolean,System.Int64,System.Boolean) is non-deterministic [PInvokeImpl Flag Set]"
_EndNoGCRegion,System.Int32 System.GC::_EndNoGCRegion(),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 System.GC::_EndNoGCRegion() is non-deterministic [PInvokeImpl Flag Set]
GetLOHCompactionMode,System.Int32 System.GC::GetLOHCompactionMode(),System.Int32,Internal Flag Set,Use of System.Int32 System.GC::GetLOHCompactionMode() is non-deterministic [Internal Flag Set]
SetLOHCompactionMode,System.Void System.GC::SetLOHCompactionMode(System.Int32),System.Void,Internal Flag Set,Use of System.Void System.GC::SetLOHCompactionMode(System.Int32) is non-deterministic [Internal Flag Set]
GetGenerationWR,System.Int32 System.GC::GetGenerationWR(System.IntPtr),System.Int32,Internal Flag Set,Use of System.Int32 System.GC::GetGenerationWR(System.IntPtr) is non-deterministic [Internal Flag Set]
GetTotalMemory,System.Int64 System.GC::GetTotalMemory(),System.Int64,PInvokeImpl Flag Set,Use of System.Int64 System.GC::GetTotalMemory() is non-deterministic [PInvokeImpl Flag Set]
_Collect,"System.Void System.GC::_Collect(System.Int32,System.Int32)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.GC::_Collect(System.Int32,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
GetMaxGeneration,System.Int32 System.GC::GetMaxGeneration(),System.Int32,Internal Flag Set,Use of System.Int32 System.GC::GetMaxGeneration() is non-deterministic [Internal Flag Set]
_CollectionCount,"System.Int32 System.GC::_CollectionCount(System.Int32,System.Int32)",System.Int32,Internal Flag Set,"Use of System.Int32 System.GC::_CollectionCount(System.Int32,System.Int32) is non-deterministic [Internal Flag Set]"
IsServerGC,System.Boolean System.GC::IsServerGC(),System.Boolean,Internal Flag Set,Use of System.Boolean System.GC::IsServerGC() is non-deterministic [Internal Flag Set]
_AddMemoryPressure,System.Void System.GC::_AddMemoryPressure(System.UInt64),System.Void,PInvokeImpl Flag Set,Use of System.Void System.GC::_AddMemoryPressure(System.UInt64) is non-deterministic [PInvokeImpl Flag Set]
_RemoveMemoryPressure,System.Void System.GC::_RemoveMemoryPressure(System.UInt64),System.Void,PInvokeImpl Flag Set,Use of System.Void System.GC::_RemoveMemoryPressure(System.UInt64) is non-deterministic [PInvokeImpl Flag Set]
